名称,服务内容,服务地址,联系方式,投诉举报渠道
上海市静安区牙病防治所,口腔内科、口腔外科、口腔修复科、牙周病科、牙体牙髓科、口腔正畸科、口腔种植科、预防儿童科,上海市平型关路15号；上海市愚园路507号；上海市武宁南路408号；上海市平顺路814号,021-66053393,电话：021-66053393
上海市静安区静安寺街道社区卫生服务中心  ,全科医疗、计划免疫、儿童保健、妇科、口腔科、眼科精神预防保健、中医科康复医学科、临终关怀科、医学检验科、医学影像科,上海市静安区新闸路1729号,021-62176060,电话：021-62176060-8005
上海市静安区曹家渡街道社区卫生服务中心,中心设有全科、妇科、眼科、中医内科、中医推拿、针伤科、康复科、儿童保健门诊和老年护理病房等。下设高荣、四和、玉兰、均泰、姚西、达安6个卫生服务标准化站点和社区康复站，在全科团队长的带领下，开展家庭、站点、中心三站式服务，满足社区居民“六位一体”的医疗卫生需求。为社区居民提供综合、连续、经济、便捷、优质的社区卫生服务。,上海市万航渡路858弄5号,021-62268811,电话：021-62268811-8205、8610
上海市静安区江宁路街道社区卫生服务中心,为人民身体健康提供医疗与护理保健服务。内、外、妇、儿、眼、五官等科诊疗与护理。,总部：上海市静安区康定路733弄70号；分部：上海市静安区江宁路702弄11号；蒋家巷：上海市西康路658弄7号1楼；武定坊：上海市武定路600弄6号104室；三乐：上海市淮安路687弄115号；通安：上海市康定路13号,总院：021-62531899、021-62532524 ；分院：021-62762234、021-62986914；蒋家巷：021-62993760；武定坊：021-52287371；三乐：021-52527016；通安：021-32521045,电话：021-62170900；举报信箱或微信公众号
上海市静安区石门二路街道社区卫生服务中心,为人民身体健康提供医疗与保健护理服务。内、外、妇、中医、眼科诊疗与护理。,上海市静安区山海关路456号,021-62563921,电话：021-62534543；或投诉箱：山海关路456号1楼投诉箱；或现场投诉点：山海关路456号5楼办公室
上海市静安区南京西路街道社区卫生服务中心,为人民身体健康提供医疗与护理保健服务：预防保健科、全科、老年病、普外科、妇产科、妇女保健科、儿科、儿童保健科、眼科、耳鼻咽喉科、口腔科、精神科、肿瘤科、康复医学科、临终关怀科、医学检验科、医学影像科、中医内科、骨伤科、针灸科、推拿科,上海市成都北路165号,021-63182117,电话：021-63180775；或院长接待日：每周四14:00-17:00(院长办公室)
上海市静安区天目西路街道社区卫生服务中心,预防保健科/全科医疗科/内科/妇产科；妇科专业/口腔科/康复医学科/医学检验科；临床体液、血液专业；临床化学检验专业/医学影像科；X线诊断专业；超声诊断专业；心电诊断专业；脑电及脑血流图诊断专业/中医科,上海市静安区梅园路111号,021-63538959,电话：021-63538959；或院长接待日；或投诉举报箱
上海市静安区北站街道社区卫生服务中心,为社区居民提供基本卫生服务。医疗与护理，疾病预防，妇儿老年保健，健康教育，计划生育技术服务等。,上海市大统路168、188号,021-63068239,电话：021-63068239
上海市静安区宝山路街道社区卫生服务中心,"为社区居民提供基本医疗和基本公共卫生服务,包括诊疗与护理,疾病预防,康复,妇儿老年保健,健康教育等。",上海市天通庵路51号,021-56629856,电话：021-56629856--8
上海市静安区芷江西路街道社区卫生服务中心,预防保健、全科医疗、中医诊疗、家庭病床、住院治疗、康复、放射、检验、心电图、超声等,上海市芷江西路335号,021-56725430,电话：021-56725430
上海市静安区共和新路街道社区卫生服务中心,基本医疗服务，基本公共卫生服务,上海市洛川东路151号,021-56382020；021-56380220,电话：021-56382020；021-56380220
上海市静安区大宁路街道社区卫生服务中心,为社区居民提供基本卫生服务,上海市静安区广延路101号（现整体改扩建），上海市洛川中路818号（现过渡点）,021-56339696,电话：021-56388637
上海市静安区彭浦新村街道社区卫生服务中心,为社区居民提供基本卫生服务。医疗与护理，疾病预防，妇儿老年保健，健康教育，计划生育技术服等。,上海市静安区平顺路15号,021-56912486-803；021-56911113,电话：021-56911113；电子邮箱：ppxincun@163.com；领导接待日：周三上午；投诉信箱：门诊大厅/病房；投诉办公室：三楼接待办公室
上海市静安区临汾路街道社区卫生服务中心,预防保健、全科医疗、内科、外科、妇产科、口腔科、康复医学、临终关怀、医学检验、临床体液、血液、临床化学检验、医学影像、X线诊断、超声诊断、心电诊断、脑电及脑血流图诊断、中医,上海市临汾路385号,021-56831110-8045,电话：021-56831110-8045
上海市静安区彭浦镇社区卫生服务中心,基本医疗、公共卫生,上海市灵石路789号,021-56651889,电话：021-56651889-835
上海市静安区彭浦镇第二社区卫生服务中心,承担辖区内居民的基本医疗、老年护理、医学康复、家庭病床、妇幼保健、计划免疫、慢病管理、健康教育、传染病防控等社区基本公共卫生服务。,上海市高平路1011号,021-56622027,电话（传真）：021-56622694；或投诉邮箱：qjhospital@163.com；或来信来访
上海市静安区血液事务管理中心,组织血源、献血法宣传、血液质量保障、输血技术指导,上海市静安区胶州路433号705室,021-56332323,电话：021-56332323；或信件
上海市静安区卫生计生系统安全保障管理中心,为区卫健委及所属单位提供安全保障管理、后勤服务，并管理部分行政事务和资产,上海市静安区愚园路300号2303,021-62533822,电话：021-62533822
上海市静安区家庭计划指导中心,计划生育宣传教育、免费避孕药具发放与管理、计生政策咨询、行政事务办理、家庭计划指导服务等基本服务,上海市静安区昌平路416号,021-52130323,电话：021-52130956
